#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AA22EE,,
#Date Time: 2019-03-18 13:20:07.459,,
#Sample rate: 4000Hz,,
#Samples: 8192,,
#Trigger: Source: voltage of transistor Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#voltage of LED: Range: 500 mV/div Offset: 0 V,,
#voltage of transistor: Range: 5 V/div Offset: 0 V,,
,,
Time (s),voltage of LED (V),voltage of transistor (V)
-0.87425,1.418,9.08777
-0.874,1.418,9.08777
-0.87375,1.418,9.09153
-0.8735,1.418,9.09153
-0.87325,1.418,9.09153
-0.873,1.41833,9.09153
-0.87275,1.418,9.09153
-0.8725,1.418,9.09153
-0.87225,1.41833,9.09153
-0.872,1.41833,9.09528
-0.87175,1.418,9.09528
-0.8715,1.41833,9.09528
-0.87125,1.41833,9.09528
-0.871,1.418,9.09528
-0.87075,1.418,9.09528
-0.8705,1.418,9.09528
-0.87025,1.418,9.09528
-0.87,1.418,9.09528
-0.86975,1.41833,9.09904
-0.8695,1.41833,9.09904
-0.86925,1.418,9.09904
-0.869,1.41833,9.09904
-0.86875,1.41833,9.09904
-0.8685,1.41833,9.09904
-0.86825,1.41833,9.09904
-0.868,1.418,9.09904
-0.86775,1.41833,9.1028
-0.8675,1.418,9.1028
-0.86725,1.418,9.1028
-0.867,1.418,9.1028
-0.86675,1.41833,9.1028
-0.8665,1.41833,9.1028
-0.86625,1.418,9.1028
-0.866,1.41833,9.10655
-0.86575,1.41833,9.10655
-0.8655,1.41833,9.10655
-0.86525,1.41833,9.1028
-0.865,1.41833,9.10655
-0.86475,1.41833,9.10655
-0.8645,1.418,9.10655
-0.86425,1.418,9.10655
-0.864,1.41833,9.11031
-0.86375,1.418,9.10655
-0.8635,1.41833,9.11031
-0.86325,1.41833,9.11031
-0.863,1.418,9.11031
-0.86275,1.41833,9.11031
-0.8625,1.41833,9.11031
-0.86225,1.41833,9.11031
-0.862,1.41833,9.11031
-0.86175,1.41833,9.11031
-0.8615,1.41833,9.11031
-0.86125,1.41833,9.11407
-0.861,1.41833,9.11407
-0.86075,1.41833,9.11407
-0.8605,1.41833,9.11407
-0.86025,1.41833,9.11407
-0.86,1.41833,9.11407
-0.85975,1.41833,9.11407
-0.8595,1.41833,9.11782
-0.85925,1.41833,9.11782
-0.859,1.41833,9.11782
-0.85875,1.41833,9.11782
-0.8585,1.41833,9.11782
-0.85825,1.41833,9.11782
-0.858,1.41833,9.11782
-0.85775,1.41833,9.12158
-0.8575,1.41833,9.12158
-0.85725,1.41833,9.12158
-0.857,1.41833,9.12158
-0.85675,1.41833,9.12158
-0.8565,1.41833,9.12158
-0.85625,1.41833,9.12158
-0.856,1.41833,9.12158
-0.85575,1.41833,9.12158
-0.8555,1.41833,9.12158
-0.85525,1.41833,9.12158
-0.855,1.41833,9.12534
-0.85475,1.41833,9.12534
-0.8545,1.41833,9.12534
-0.85425,1.41833,9.12534
-0.854,1.41833,9.12534
-0.85375,1.41833,9.12534
-0.8535,1.41833,9.12534
-0.85325,1.41833,9.12909
-0.853,1.41833,9.12534
-0.85275,1.41833,9.12534
-0.8525,1.41833,9.12909
-0.85225,1.41833,9.12909
-0.852,1.41833,9.12909
-0.85175,1.41833,9.12909
-0.8515,1.41833,9.12909
-0.85125,1.41833,9.12909
-0.851,1.41833,9.13285
-0.85075,1.41833,9.13285
-0.8505,1.41833,9.12909
-0.85025,1.41833,9.13285
-0.85,1.41833,9.13285
-0.84975,1.41833,9.13285
-0.8495,1.41833,9.13285
-0.84925,1.41833,9.13285
-0.849,1.41833,9.13285
-0.84875,1.41833,9.13661
-0.8485,1.41833,9.13661
-0.84825,1.41833,9.13661
-0.848,1.41833,9.13661
-0.84775,1.41833,9.13661
-0.8475,1.41833,9.13661
-0.84725,1.41833,9.13661
-0.847,1.41833,9.13661
-0.84675,1.41833,9.14036
-0.8465,1.41833,9.14036
-0.84625,1.41833,9.14036
-0.846,1.41833,9.14036
-0.84575,1.41833,9.14036
-0.8455,1.41833,9.14036
-0.84525,1.41833,9.14036
-0.845,1.41833,9.14412
-0.84475,1.41833,9.14412
-0.8445,1.41833,9.14412
-0.84425,1.41833,9.14412
-0.844,1.41833,9.14412
-0.84375,1.41833,9.14412
-0.8435,1.41833,9.14412
-0.84325,1.41833,9.14412
-0.843,1.41833,9.14412
-0.84275,1.41833,9.14788
-0.8425,1.41833,9.14788
-0.84225,1.41833,9.14788
-0.842,1.41833,9.14788
-0.84175,1.41833,9.14788
-0.8415,1.41833,9.14788
-0.84125,1.41833,9.14788
-0.841,1.41833,9.15163
-0.84075,1.41867,9.15163
-0.8405,1.41833,9.15163
-0.84025,1.41833,9.15163
-0.84,1.41867,9.15163
-0.83975,1.41867,9.15163
-0.8395,1.41867,9.15163
-0.83925,1.41833,9.15163
-0.839,1.41833,9.15539
-0.83875,1.41833,9.15539
-0.8385,1.41833,9.15539
-0.83825,1.41867,9.15539
-0.838,1.41833,9.15539
-0.83775,1.41833,9.15539
-0.8375,1.41833,9.15539
-0.83725,1.41833,9.15539
-0.837,1.41867,9.15539
-0.83675,1.41833,9.15539
-0.8365,1.41833,9.15915
-0.83625,1.41867,9.15915
-0.836,1.41833,9.15915
-0.83575,1.41833,9.15915
-0.8355,1.41833,9.15915
-0.83525,1.41833,9.15915
-0.835,1.41867,9.15915
-0.83475,1.41867,9.15915
-0.8345,1.41867,9.1629
-0.83425,1.41833,9.1629
-0.834,1.41867,9.1629
-0.83375,1.41867,9.1629
-0.8335,1.41867,9.16666
-0.83325,1.41867,9.16666
-0.833,1.41833,9.16666
-0.83275,1.41867,9.16666
-0.8325,1.41833,9.16666
-0.83225,1.41833,9.16666
-0.832,1.41833,9.16666
-0.83175,1.41867,9.16666
-0.8315,1.41833,9.16666
-0.83125,1.41867,9.16666
-0.831,1.41833,9.16666
-0.83075,1.41833,9.16666
-0.8305,1.41833,9.16666
-0.83025,1.41833,9.17042
-0.83,1.41867,9.17042
-0.82975,1.41867,9.17042
-0.8295,1.41867,9.17042
-0.82925,1.41867,9.17042
-0.829,1.41867,9.17042
-0.82875,1.41867,9.17417
-0.8285,1.41867,9.17417
-0.82825,1.41833,9.17417
-0.828,1.41833,9.17417
-0.82775,1.41867,9.17417
-0.8275,1.41867,9.17417
-0.82725,1.41867,9.17417
-0.827,1.41867,9.17417
-0.82675,1.41867,9.17417
-0.8265,1.41867,9.17793
-0.82625,1.419,9.17793
-0.826,1.41934,9.17417
-0.82575,1.41867,9.17793
-0.8255,1.41867,9.17793
-0.82525,1.42068,9.17793
-0.825,1.41968,9.17793
-0.82475,1.419,9.18169
-0.8245,1.41867,9.18169
